스크립트,연도,제품,회사
"안녕? 이건 새로운 그램. 난 이렇게 써. 강의 들으면서 정리하고, 트랜드 분석한걸 바로 공유하지. 프로젝트 작업은 넓게 쫙! 어? 피팅영상 왔다. 제대로 볼까? 음. 그램 아니면 이런거 못하지. 두 개의 대화면을 하나처럼 자유롭게. 인텔 이보 플랫폼을 탑제한 엘지 그램.",2021,그램,LG전자
"2021년 그램 16의 혁신은 본 적도 들어본 적도 없는 놀라움. WHY? 15보다 작은 대화면. 16은 본 적도, 이토록 가벼운 16은 들어본 적도 없을테니. 15보다 작은 그램16으로 세상의 상식을 혁신하다. 인텔 이보 플랫폼이 탑제된 엘지 그램.",2020,그램16,LG전자
"이런 노트북 어디 없나? 화면은 확 키우고, 크기는 들기 좋게 줄이면서, 여전히 가벼우면 참 좋겠는데. 그게 그램이잖아. 그램 17, 당신이 바라던 그대로. 가장 큰 그램을 여전히 가볍게. 대화면을 그램하다. LG 그램 17.",2019,그램17,LG전자
"쌤! 뭐하세요? 간단하게 작곡. 오 작곡~ 이게 작곡하는 프로그램인데, 이게 이렇게. 그러니까 이게 멜로디를 여기에. 뭐야? 프로그램을 너무 깔았나? 어떡하지? 쌤 그럴줄 알고 준비했죠. 그램이니까 바로! 이렇게 쉽게. 듀얼 업그레이드. 퍼포먼스와 저장공간을 2배로. 쌤 긴장하셨던건 아니죠? 어떡해? 초경량 노트북 최초! 듀얼 업그레이드. LG 그램. 안전한 업그레이드는 LG 서비스 센터에서 하세요. 8세대 인텔코어 i7 프로세스 탑제.",2018,그램,LG전자
"이런 건 처음일 걸요? 이제부터 트롬은 세탁기로 닫혀, 건조기로 열립니다. 올인원 워시콤보로 세탁부터 건조까지 끊김 없이 한 번에. 이제, 모든 세탁 건조를 워시콤보 하나로 완료. 엘지 트롬 오브제컬렉션.",2024,트롬 오브제컬렉션,LG전자
"월화수목금, 꼬망스. 토일, 트롬. 월화수목금, 꼬망스. 토일, 트롬. 큰 빨래는 한꺼번에 큰 트롬으로, 작은 빨래는 바로바로 작은 꼬망스로. 트롬이 그래도 작아진 미니 세탁기. 엘지 꼬망스 미니 세탁기.",2013,꼬망스,LG전자
"여기 디오스가 있습니다. 오늘 날씨 어때? 오늘 날씨는 맑습니다. 디오스니까 날씨를 알려주고 각 얼음 세팅해 줘. 말도 잘 듣습니다. 두드리면 반갑게 맞아주고, 게다가 완전 디오스답게, Hi LG, 문 열어 줘. 매너까지 완벽합니다. 이런 게 바로 디오스 라이프죠. 1등답게 디오스가 새로움을 오픈. 엘지 디오스 얼음정수기 냉장고.",2020,디오스,LG전자
자동으로 따라오면 편하니까. 이제 로보싸이킹이 당신을 자동으로 따라갑니다. 당신의 청소기. 따라올 수 있습니까? 청소가 더 편해집니다. 엘지 로보싸이킹.,2013,로보싸이킹,LG전자
집안 구석구석 쌓인 먼지들을 주말까지 그냥 둘 순 없죠. 지금 바로 다이슨 V8 디지털 모터가 탑재된 무선 진공 청소기를 써보세요. 강력한 흡입력으로 강력한 흡입력으로 아주 깊숙한 곳에 먼지까지 빨아들입니다. 최대 40분 동안 편안하게 청소하세요. 언제 어디서나 누구든지.,2017,V8,다이슨
실제 가정 환경에 대한 연구들은 집안에 먼지가 많이 숨어있다는 것을 알려주었습니다. 그래서 우리는 다이슨에서 가장 빠른 디지털 모터 V10을 발명했습니다. 이 모터를 장착한 혁신적인 진공 청소기가 카본 파이버 필라멘트로 미세먼지를 제거하고 제품 전체에 적용된 필터시스템으로 0.3 마이크론 크기의 미세 먼지를 99.97% 잡아냅니다. 이것이 바로 집안을 제대로 청소할 수 있게 해주는 특허 기술입니다.,2018,V10,다이슨
"요리가 오래 걸릴 땐, 경력이 부족해서 라고 생각했다. 레시피대로 해도 맛이 없을 땐, 실력이 부족해서 라고 생각했다. 하지만, 나에게 부족한 건, 초고화력이었다. 디오스 인덕션은 초고화력이니까. 요리를 더 빠르게, 더 맛있게. 초고화력이 실력이다. 엘지 디오스 인덕션.",2020,디오스 인덕션,LG전자
이런 식기세척기가 또 있을까요? 세척부터 살균까지 100도씨 트루스팀으로 빈틈없이. 트루건조로 습기를 모으고 문을 열어 날리고력한 열풍으로 말려주는. 우와 깔끔한데? 이런건 아무나 못하지. 세상에 없던 식기세척기. 엘지 디오스 오브제 컬렉션.,2022,디오스 오브제 컬렉션 식기세척기,LG전자
아침을 먹고 출근을 준비하는 그 사이. 점심을 먹고 아이와 즐거운 시간을 보내는 그 사이. SK매직의 파워워시 기술로 빈틈없이. 고온 살균 세척으로 기름기까지 깨끗하게. 건조까지 자동으로. 설거지는 식기세척기가 하는 거예요. SK가 만드는 생활의 매직. SK매직,2019,식기세척기,SK매직
"냉수, 온수, 정수. 모든 물이 직수? 날 빠뜨린 건 실수! 얼음도 물이니까 직수. 국내 유일 얼음까지 직수로 만들어 더 깨끗한 SK매직 직수 얼음정수기. 얼음까지 직수니까. SK매직 놀람직. SK가 만드는 생활의 매직. SK매직.",2018,직수 얼음정수기,SK매직
"사운드가 몰입감을 만든다. 각기 다른 발소리. 장전음과 총성. 화려한 스킬 이펙트까지. 울트라기어 게이밍스피커로 듣고 승리하라. 9시 방향에 AR 엄호좀 해줘. 숲에서 건물로 들어간다.  마지막까지 집중. 잘들어. 3시방향 저격수, 조심해. 울트라기어의 실감나는 사운드로 마침내 승리하다. LG 울트라기어 게이밍스피커.",2022,울트라기어 게이밍스피커,LG전자
